Frame,Frequency_MHz,SF,RSSI_dBm,SNR_dB,DevAddr,FCnt,MIC_Status
1,905.3,7,-13,13.8,0x260c8b2f,6,1
2,905.3,7,-13,13.8,0x260c8b2f,6,1
3,904.5,7,-11,13.5,0x260c8b2f,7,1
4,904.5,7,-11,13.5,0x260c8b2f,7,1
5,903.9,7,-10,14.5,0x260c8b2f,8,1
6,903.9,7,-10,14.5,0x260c8b2f,8,1
7,904.3,7,-11,11.0,0x260c8b2f,9,1
8,904.3,7,-11,11.0,0x260c8b2f,9,1
9,904.1,7,-9,13.5,0x260c8b2f,10,1
10,904.1,7,-9,13.5,0x260c8b2f,10,1
11,904.7,7,-12,14.0,0x260c8b2f,11,1
12,904.7,7,-12,14.0,0x260c8b2f,11,1
13,904.5,7,-14,13.8,0x260c8b2f,12,1
14,904.5,7,-14,13.8,0x260c8b2f,12,1
15,904.9,7,-18,13.8,0x260c8b2f,13,1
16,904.9,7,-18,13.8,0x260c8b2f,13,1
